,ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper
78,2014-10-31,4702.0969104084315,4702.0969104084315,4702.0969104084315,4568.42686573263,4343.318263887796,4767.290856454105
79,2014-11-03,4718.011911423077,4718.011911423077,4718.011911423077,4581.002874985349,4363.233464757804,4807.977637564834
80,2014-11-04,4723.316911761293,4723.316911761293,4723.316911761293,4598.093376326548,4366.250198716915,4799.25987558273
81,2014-11-05,4728.621912099507,4728.621912099507,4728.621912099507,4604.198619549396,4378.737904404461,4820.996499029978
82,2014-11-06,4733.926910272975,4733.926910272975,4733.926910272975,4604.8711936123,4381.620679038494,4828.759875173851
83,2014-11-07,4739.231908446442,4739.231908446442,4739.231908446442,4610.670016515594,4387.8791521049225,4842.856626088612
84,2014-11-10,4755.146902966842,4755.146902966842,4755.146902966842,4615.095758543273,4405.872985957636,4841.24531786221
85,2014-11-11,4760.451901140308,4760.451901140308,4760.451901140308,4666.003173110585,4458.993969240652,4893.483910767276
86,2014-11-12,4765.756899313775,4765.756899313775,4765.756899313775,4632.747843896983,4404.637885222866,4846.71236525305
87,2014-11-13,4771.061897487242,4771.061897487242,4771.061897487242,4630.848035854778,4423.627261840873,4842.3863609141445
88,2014-11-14,4776.366895660708,4776.366895660708,4776.366895660708,4634.293256824005,4417.743289084672,4861.321093818949
89,2014-11-17,4792.281890181108,4792.281890181108,4792.281890181108,4633.417744675686,4398.428977420767,4860.058437176799
90,2014-11-18,4797.586888354575,4797.586888354575,4797.586888354575,4646.5959092598205,4436.0752939054055,4871.466189445506
91,2014-11-19,4802.891886528042,4802.891886528042,4802.891886528042,4649.215001220197,4426.508871054611,4872.83321961894
92,2014-11-20,4808.196884701509,4808.196884701509,4808.196884701509,4646.881294232015,4422.649692932286,4869.371969162807
93,2014-11-21,4813.501882874975,4813.501882874975,4813.501882874975,4650.184757286773,4419.249673032465,4858.9370662754845
94,2014-11-24,4829.416877395375,4829.416877395375,4829.416877395375,4650.152270962497,4420.120337561478,4865.772609262853
95,2014-11-25,4834.721875568843,4834.721875568843,4834.721875568843,4663.826766684081,4446.667357097058,4894.575963687743
96,2014-11-26,4840.026873742308,4840.026873742308,4840.026873742308,4666.930699281513,4437.706941232911,4888.391677616421
97,2014-11-28,4850.636870089243,4850.636870089243,4850.636870089243,4668.534149837411,4442.782475648919,4898.467496177971
98,2014-12-01,4866.5518646096425,4866.5518646096425,4866.5518646096425,4667.560951083209,4425.660213360133,4904.188520357738
99,2014-12-02,4871.856862783109,4871.856862783109,4871.856862783109,4680.186709020825,4461.834744064467,4890.164683614401
100,2014-12-03,4877.161860956576,4877.161860956576,4877.161860956576,4681.809293540752,4459.252813976772,4893.464750416606
101,2014-12-04,4882.466859130042,4882.466859130042,4882.466859130042,4677.940763926392,4450.2241310665995,4898.963282422407
102,2014-12-05,4887.771857303509,4887.771857303509,4887.771857303509,4679.0931860361925,4455.4699507621235,4905.35025563927
103,2014-12-08,4903.686851823909,4903.686851823909,4903.686851823909,4668.442287198997,4453.334596273617,4906.998684190682
104,2014-12-09,4908.9918499973755,4908.9918499973755,4908.9918499973755,4677.153098839156,4427.124256550875,4903.443281221258
105,2014-12-10,4914.296848170842,4914.296848170842,4914.296848170842,4674.628445786804,4454.710520293428,4899.725163604299
106,2014-12-11,4919.601846344309,4919.601846344309,4919.601846344309,4666.4672126001515,4451.060402095008,4882.51363207556
107,2014-12-12,4924.906844517776,4924.906844517776,4924.906844517776,4663.278557063663,4446.434285470468,4879.054478264541
108,2014-12-15,4940.821839038175,4940.821839038175,4940.821839038175,4640.38612486459,4425.268204609563,4880.08868291932
109,2014-12-16,4946.126837211642,4946.126837211642,4946.126837211642,4645.648063099119,4411.722579172337,4867.954078726199
110,2014-12-17,4951.4318353851095,4951.4318353851095,4951.4318353851095,4640.172147933739,4421.878374180253,4857.459282555981
111,2014-12-18,4956.736833558575,4956.736833558575,4956.736833558575,4629.657625682624,4398.014939557544,4862.013261089796
112,2014-12-19,4962.041831732043,4962.041831732043,4962.041831732043,4624.804039004807,4410.871924900429,4847.098830842838
113,2014-12-22,4977.956826252443,4977.956826252443,4977.956826252443,4601.745968265995,4388.262179503186,4825.692152088666
114,2014-12-23,4983.261824425909,4983.261824425909,4983.261824425909,4608.711815880619,4384.632419460806,4820.002468996099
115,2014-12-24,4988.566822599376,4988.566822599376,4988.566822599376,4605.846540292293,4388.228994367663,4817.705096664388
116,2014-12-26,4999.176818946309,4999.176818946309,4999.176818946309,4598.3417793681865,4378.548406665347,4808.930895366346
117,2014-12-29,5015.09181346671,5015.09181346671,5015.09181346671,4592.85655495593,4390.598429687823,4825.2852101346025
118,2014-12-30,5020.396811640176,5020.396811640176,5020.396811640176,4606.86934903655,4403.16694149674,4836.215042135384
119,2014-12-31,5025.701809813642,5025.701809813642,5025.701809813642,4611.453172965069,4395.16878689041,4829.005327245451
120,2015-01-02,5036.3118061605755,5036.3118061605755,5036.3118061605755,4619.512296583454,4378.950608869947,4836.206391969561
121,2015-01-05,5052.226800680975,5052.226800680975,5052.226800680975,4636.879878139122,4400.445128466217,4856.0859028494
122,2015-01-06,5052.365699790068,5052.365699790068,5052.365699790068,4652.641795059123,4442.663021603401,4873.541277936513
123,2015-01-07,5052.504598899161,5052.504598899161,5052.504598899161,4658.403774166658,4447.920835887541,4879.85103905675
124,2015-01-08,5052.643498008252,5052.643498008252,5052.643498008252,4659.602857919025,4424.38628409489,4879.807924954561
125,2015-01-09,5052.782397117345,5052.782397117345,5052.782397117345,4666.663550936415,4437.374472189447,4887.270808060554
126,2015-01-12,5053.199094444621,5053.199094444621,5053.199094444621,4677.742220344774,4458.990703036602,4885.7134016607115
127,2015-01-13,5053.337993553713,5053.337993553713,5053.337993553713,4694.640638927024,4468.699910406818,4914.454348626281
128,2015-01-14,5053.476892662805,5053.476892662805,5053.476892662805,4700.564679059078,4485.057173715722,4909.678590690709
129,2015-01-15,5053.615791771897,5053.615791771897,5053.615791771897,4700.981208436351,4463.472946022606,4928.397798429427
130,2015-01-16,5053.754690880989,5053.754690880989,5053.754690880989,4706.366819665481,4507.872261174736,4937.973219152244
131,2015-01-20,5054.310287317357,5054.310287317357,5054.310287317357,4720.453624372225,4487.993379334701,4937.847797816016
132,2015-01-21,5054.449186426449,5054.449186426449,5054.449186426449,4721.683355077001,4499.369061754009,4957.70004762578
133,2015-01-22,5054.588085535541,5054.588085535541,5054.588085535541,4717.188052926053,4504.471965779543,4963.7269296819095
134,2015-01-23,5054.726984644633,5054.726984644633,5054.726984644633,4717.591172895534,4485.964645680616,4928.458792201457
135,2015-01-26,5055.143681971909,5055.143681971909,5055.143681971909,4705.201642841409,4467.747245924179,4925.691882483823
136,2015-01-27,5055.282581081002,5055.282581081003,5055.282581081003,4713.932062781303,4495.545136179618,4941.598200337176
137,2015-01-28,5055.4214801900935,5055.4214801900935,5055.4214801900935,4711.933860263582,4494.40586858766,4921.584444513312
138,2015-01-29,5055.560379299185,5055.560379299185,5055.560379299185,4704.917277746232,4485.783177605604,4929.67898670187
139,2015-01-30,5055.699278408278,5055.699278408278,5055.699278408278,4703.588938548661,4490.614389821604,4930.223075580705
140,2015-02-02,5056.115975735554,5056.115975735554,5056.115975735554,4691.2738977136205,4475.672282479216,4924.48169833433
141,2015-02-03,5056.254874844646,5056.254874844646,5056.254874844646,4701.85437942052,4476.94780020017,4928.22477542343
142,2015-02-04,5056.393773953738,5056.393773953738,5056.393773953738,4702.598426778092,4489.870985031416,4925.463190830347
143,2015-02-05,5056.53267306283,5056.532673062829,5056.532673062829,4699.171968715933,4472.835008792619,4897.501273253506
144,2015-02-06,5056.671572171922,5056.671572171922,5056.671572171922,4702.217500462508,4462.034771104441,4941.620783257269
145,2015-02-09,5057.088269499198,5057.088269499198,5057.088269499198,4706.827565353597,4483.894646415021,4927.160893097878
146,2015-02-10,5057.2271686082895,5057.2271686082895,5057.2271686082895,4723.948717231728,4494.955669036871,4943.699530987975
147,2015-02-11,5057.366067717382,5057.366067717382,5057.366067717382,4731.473601168674,4522.466292290978,4952.0227603018775
148,2015-02-12,5057.504966826474,5057.504966826474,5057.504966826474,4734.934000389567,4516.725589709729,4951.952545443085
149,2015-02-13,5057.643865935566,5057.643865935566,5057.643865935566,4744.83698650934,4531.563737520198,4959.039457689217
150,2015-02-17,5058.199462371935,5058.199462371935,5058.199462371935,4791.123255779366,4563.617835049376,5020.123713323627
151,2015-02-18,5058.338361481026,5058.338361481026,5058.338361481026,4803.494424822574,4594.172372961338,5029.1968471875625
152,2015-02-19,5058.477260590119,5058.477260590119,5058.477260590119,4811.096696422536,4590.945033583836,5029.592047375101
153,2015-02-20,5058.6161596992115,5058.6161596992115,5058.6161596992115,4824.3697958111015,4604.75655938606,5039.042090008402
154,2015-02-23,5059.032857026486,5059.032857026486,5059.032857026486,4853.134432972378,4634.848553981947,5060.986053472111
155,2015-02-24,5059.171756135579,5059.171756135579,5059.171756135579,4875.6822420884355,4667.40189681299,5095.03771666073
156,2015-02-25,5059.310655244671,5059.310655244671,5059.310655244671,4887.167574397537,4661.649820453629,5113.111576261124
157,2015-02-26,5059.449554353763,5059.449554353763,5059.449554353763,4893.075202131782,4678.539584901616,5114.842497228887
158,2015-02-27,5059.588453462855,5059.588453462855,5059.588453462855,4903.895878260084,4683.688485327035,5122.061377696682
159,2015-03-02,5060.005150790132,5060.005150790132,5060.005150790132,4921.449372618454,4695.200782602644,5127.627325013684
160,2015-03-03,5060.144049899223,5060.144049899223,5060.144049899223,4939.253002300104,4723.91618759579,5171.123193346429
161,2015-03-04,5060.282949008316,5060.282949008316,5060.282949008316,4945.644876278905,4711.5431177456885,5168.750763952315
162,2015-03-05,5060.421848117407,5060.421848117407,5060.421848117407,4946.206889780117,4719.628089193541,5172.766294513192
163,2015-03-06,5059.187743722717,5059.187743722717,5059.187743722717,4950.153827667027,4715.051808697801,5170.153393389149
164,2015-03-09,5055.485430538643,5055.485430538643,5055.485430538643,4947.081847529451,4735.510617888855,5175.636184286013
165,2015-03-10,5054.251326143952,5054.251326143952,5054.251326143952,4958.290730281028,4738.494643256375,5177.745775780502
166,2015-03-11,5053.017221749262,5053.017221749262,5053.017221749262,4958.350439119901,4737.431896089606,5175.691225402193
167,2015-03-12,5051.78311735457,5051.78311735457,5051.78311735457,4952.902918042949,4723.364101038808,5166.657868700936
168,2015-03-13,5050.549012959879,5050.549012959879,5050.549012959879,4952.586133144196,4729.535983731091,5175.156932735724
169,2015-03-16,5046.846699775807,5046.846699775807,5046.846699775807,4939.309540742243,4714.554597398207,5168.122733411446
170,2015-03-17,5045.612595381115,5045.612595381115,5045.612595381115,4948.046163310735,4722.254637655153,5165.4271726611
171,2015-03-18,5044.378490986424,5044.378490986424,5044.378490986424,4946.108788825738,4730.113453928757,5156.28972404653
172,2015-03-19,5043.144386591733,5043.144386591733,5043.144386591733,4939.133474201037,4717.348171823264,5171.843980503991
173,2015-03-20,5041.910282197042,5041.910282197042,5041.910282197042,4937.7454993606925,4714.5013846174725,5164.917331636653
174,2015-03-23,5038.207969012969,5038.207969012969,5038.207969012969,4923.7890935260575,4708.800951353797,5143.664485810786
175,2015-03-24,5036.973864618279,5036.973864618279,5036.973864618279,4933.05653389664,4710.99885228224,5147.680740460743
176,2015-03-25,5035.739760223587,5035.739760223587,5035.739760223587,4931.979555487644,4722.574541774914,5151.63919590689
177,2015-03-26,5034.505655828897,5034.505655828897,5034.505655828897,4926.163400895101,4688.657551297288,5147.967206381815
178,2015-03-27,5033.271551434205,5033.271551434205,5033.271551434205,4926.202748912432,4712.583727351397,5167.913163778101
179,2015-03-30,5029.569238250132,5029.569238250132,5029.569238250132,4917.845646153681,4703.395530839098,5143.654575913264
180,2015-03-31,5028.335133855442,5028.335133855442,5028.335133855442,4929.3283617545685,4695.9116842813555,5164.784889299134
181,2015-04-01,5027.10102946075,5027.10102946075,5027.10102946075,4930.599717598795,4706.815784334119,5145.411540167197
182,2015-04-02,5025.86692506606,5025.86692506606,5025.86692506606,4927.242158028755,4682.919927093298,5130.272931657955
183,2015-04-06,5020.9305074872955,5020.9305074872955,5020.9305074872955,4929.429261128634,4717.973042597677,5153.688832033012
184,2015-04-07,5019.696403092605,5019.696403092605,5019.696403092605,4943.597303130417,4722.0931852508775,5157.643882068874
185,2015-04-08,5018.462298697913,5018.462298697913,5018.462298697913,4947.531351867468,4742.080183332175,5176.98292311343
186,2015-04-09,5017.228194303222,5017.228194303222,5017.228194303222,4946.788080729682,4714.857857929995,5170.198891257445
